iter	Passed	Remaining
913	43148	4059
914	43188	4012
915	43227	3964
916	43265	3916
917	43303	3868
918	43341	3820
919	43381	3772
920	43420	3724
921	43465	3677
922	43511	3629
923	43554	3582
924	43590	3534
925	43631	3486
926	43670	3438
927	43710	3391
928	43748	3343
929	43786	3295
930	43824	3248
931	43859	3200
932	43898	3152
933	43934	3104
934	43970	3056
935	44003	3008
936	44039	2961
937	44078	2913
938	44120	2866
939	44159	2818
940	44192	2770
941	44226	2723
942	44264	2675
943	44300	2628
944	44339	2580
945	44376	2533
946	44417	2485
947	44456	2438
948	44495	2391
949	44531	2343
950	44572	2296
951	44609	2249
952	44643	2201
953	44679	2154
954	44717	2107
955	44755	2059
956	44792	2012
957	44828	1965
958	44864	1918
959	44905	1871
960	44943	1823
961	44981	1776
962	45023	1729
963	45060	1682
964	45098	1635
965	45136	1588
966	45173	1541
967	45213	1494
968	45253	1447
969	45299	1401
970	45347	1354
971	45387	1307
972	45426	1260
973	45475	1213
974	45517	1167
975	45563	1120
976	45603	1073
977	45643	1026
978	45686	980
979	45728	933
980	45780	886
981	45833	840
982	45875	793
983	45917	746
984	45959	699
985	46001	653
986	46044	606
987	46081	559
988	46118	512
989	46154	466
990	46194	419
991	46232	372
992	46270	326
993	46307	279
994	46346	232
995	46386	186
996	46428	139
997	46470	93
998	46511	46
999	46548	0
